BFD_EXIOBASE_Name,basic_price_factor,EUR_AUD_coversion,inflation_2023_2019
"Radio, television and communication equipment and apparatus (32)",0.649782944280323,0.6180943,0.8900236
Railway transportation services,1,0.6180943,0.8900236
Raw milk,0.8981363326972465,0.6180943,0.8900236
Real estate services (70),0.4403268427136125,0.6180943,0.8900236
"Recreational, cultural and sporting services (92)",0.8996943178070625,0.6180943,0.8900236
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.9596706504702194,0.6180943,0.8900236
"Ash for treatment, Re-processing of ash into clinker",0.9161309420575484,0.6180943,0.8900236
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.9596706504702194,0.6180943,0.8900236
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.4735887587822014,0.6180943,0.8900236
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.9596706504702194,0.6180943,0.8900236
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.9596706504702194,0.6180943,0.8900236
NA,0.9596706504702194,0.6180943,0.8900236
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.8854044405746625,0.6180943,0.8900236
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.7897673921017239,0.6180943,0.8900236
Refinery Feedstocks,0.6036088350195332,0.6180943,0.8900236
Refinery Gas,0.6036088350195332,0.6180943,0.8900236
Renting services of machinery and equipment without operator and of personal and household goods (71),0.9499155076495132,0.6180943,0.8900236
Research and development services (73),0.9865228391708863,0.6180943,0.8900236
Retail trade services of motor fuel,1,0.6180943,0.8900236
NA,1,0.6180943,0.8900236
Rubber and plastic products (25),0.6833705182585896,0.6180943,0.8900236
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",1,0.6180943,0.8900236
Sand and clay,1,0.6180943,0.8900236
Sea and coastal water transportation services,1,0.6180943,0.8900236
Secondary raw materials,0.4834477513562846,0.6180943,0.8900236
Sewage sludge for treatment: biogasification and land application,0.9563056872037916,0.6180943,0.8900236
Steam and hot water supply services,0.995275167785235,0.6180943,0.8900236
Stone,1,0.6180943,0.8900236
Sub-Bituminous Coal,0.984979799426934,0.6180943,0.8900236
Sugar,0.6279222748815165,0.6180943,0.8900236
"Sugar cane, sugar beet",0.7524921056529422,0.6180943,0.8900236
Supporting and auxiliary transport services; travel agency services (63),1,0.6180943,0.8900236
Textiles (17),0.4254792295263461,0.6180943,0.8900236
Textiles waste for treatment: landfill,0.9563056872037916,0.6180943,0.8900236
Textiles waste for treatment: incineration,0.9563056872037916,0.6180943,0.8900236
Transmission services of electricity,1,0.6180943,0.8900236
Transportation services via pipelines,1,0.6180943,0.8900236
Uranium and thorium ores (12),1,0.6180943,0.8900236
"Vegetables, fruit, nuts",0.7524921056529422,0.6180943,0.8900236
Wearing apparel; furs (18),0.4226194353090311,0.6180943,0.8900236
Wheat,0.8981363326972465,0.6180943,0.8900236
White Spirit & SBP,0.6036088350195332,0.6180943,0.8900236
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1,0.6180943,0.8900236
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),0.7998113550713456,0.6180943,0.8900236
Wood waste for treatment: landfill,0.9563056872037916,0.6180943,0.8900236
Wood waste for treatment: incineration,0.9563056872037916,0.6180943,0.8900236
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.7998113550713456,0.6180943,0.8900236
"Wool, silk-worm cocoons",0.8681929808998501,0.6180943,0.8900236
products of Vegetable oils and fats,0.697560559685177,0.6180943,0.8900236
Tobacco products (16),0.8840697126174791,0.6180943,0.8900236
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.8840697126174791,0.6180943,0.8900236
