EF,Impact_Area,Modelling_Unit,Factor,Impact_Unit
"waste treatment, garden and green, at landfill",Marine ecotoxicity,1.0 kg,-3.15992992049276e-4,"kg 1,4-DCB"
"waste treatment, garden and green, at landfill",Marine eutrophication,1.0 kg,-2.2519576680591344e-7,kg N eq
"waste treatment, garden and green, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.005970898458540558,kg NOx eq
"waste treatment, garden and green, at landfill",Terrestrial acidification,1.0 kg,3.7148736098168117e-4,kg SO2 eq
"waste treatment, garden and green, at landfill",Terrestrial ecotoxicity,1.0 kg,0.011566356712875064,"kg 1,4-DCB"
"waste treatment, garden and green, at landfill",Water consumption,1.0 kg,-0.030355201749692744,m3
"waste treatment, mixed paper, at landfill",Freshwater ecotoxicity,1.0 kg,-5.908099181480583e-4,"kg 1,4-DCB"
"waste treatment, mixed paper, at landfill",Freshwater eutrophication,1.0 kg,-1.2830034341600001e-7,kg P eq
"waste treatment, mixed paper, at landfill",Global warming,1.0 kg,2.1400589391773406,kg CO2 eq
"waste treatment, mixed paper, at landfill",Land use,1.0 kg,0.00140138047220597,m2a crop eq
"waste treatment, mixed paper, at landfill",Marine ecotoxicity,1.0 kg,-7.990065935787072e-4,"kg 1,4-DCB"
"waste treatment, mixed paper, at landfill",Marine eutrophication,1.0 kg,-5.213117881752083e-7,kg N eq
"waste treatment, mixed paper, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.012403535631672102,kg NOx eq
"waste treatment, mixed paper, at landfill",Terrestrial acidification,1.0 kg,7.476226849033768e-4,kg SO2 eq
"waste treatment, mixed paper, at landfill",Terrestrial ecotoxicity,1.0 kg,0.014153713460061128,"kg 1,4-DCB"
"waste treatment, mixed paper, at landfill",Water consumption,1.0 kg,-0.0659612152309124,m3
"waste treatment, office paper, at landfill",Freshwater ecotoxicity,1.0 kg,-0.0011265331850623592,"kg 1,4-DCB"
"waste treatment, office paper, at landfill",Freshwater eutrophication,1.0 kg,-4.28514336108e-7,kg P eq
"waste treatment, office paper, at landfill",Global warming,1.0 kg,3.8347257378510227,kg CO2 eq
"waste treatment, office paper, at landfill",Land use,1.0 kg,0.0013688195628415,m2a crop eq
"waste treatment, office paper, at landfill",Marine ecotoxicity,1.0 kg,-0.00153773261802724,"kg 1,4-DCB"
"waste treatment, office paper, at landfill",Marine eutrophication,1.0 kg,-9.7419496414302e-7,kg N eq
"waste treatment, office paper, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.022241685521039653,kg NOx eq
"waste treatment, office paper, at landfill",Terrestrial acidification,1.0 kg,0.0013228883961970196,kg SO2 eq
"waste treatment, office paper, at landfill",Terrestrial ecotoxicity,1.0 kg,0.018110853968774644,"kg 1,4-DCB"
"waste treatment, office paper, at landfill",Water consumption,1.0 kg,-0.12041746436623654,m3
"waste treatment, rubber and leather, at landfill",Freshwater ecotoxicity,1.0 kg,-5.873757010374448e-4,"kg 1,4-DCB"
"waste treatment, rubber and leather, at landfill",Freshwater eutrophication,1.0 kg,-1.26375891605e-7,kg P eq
"waste treatment, rubber and leather, at landfill",Global warming,1.0 kg,2.129195481449403,kg CO2 eq
"waste treatment, rubber and leather, at landfill",Land use,1.0 kg,0.00140158903877923,m2a crop eq
"waste treatment, rubber and leather, at landfill",Marine ecotoxicity,1.0 kg,-7.942710293423736e-4,"kg 1,4-DCB"
"waste treatment, rubber and leather, at landfill",Marine eutrophication,1.0 kg,-5.18408636603161e-7,kg N eq
"waste treatment, rubber and leather, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.012340470588990144,kg NOx eq
"waste treatment, rubber and leather, at landfill",Terrestrial acidification,1.0 kg,7.43935078841912e-4,kg SO2 eq
"waste treatment, rubber and leather, at landfill",Terrestrial ecotoxicity,1.0 kg,0.014128351510631456,"kg 1,4-DCB"
"waste treatment, rubber and leather, at landfill",Water consumption,1.0 kg,-0.06561214137551469,m3
"waste treatment, textiles, at landfill",Freshwater ecotoxicity,1.0 kg,-3.29816269353807e-4,"kg 1,4-DCB"
"waste treatment, textiles, at landfill",Freshwater eutrophication,1.0 kg,1.7957744367000006e-8,kg P eq
"waste treatment, textiles, at landfill",Global warming,1.0 kg,1.3144517676538747,kg CO2 eq
"waste treatment, textiles, at landfill",Land use,1.0 kg,0.0014172432952922899,m2a crop eq
"waste treatment, textiles, at landfill",Marine ecotoxicity,1.0 kg,-4.3911404937192863e-4,"kg 1,4-DCB"
"waste treatment, textiles, at landfill",Marine eutrophication,1.0 kg,-3.0067631970501237e-7,kg N eq
"waste treatment, textiles, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.007610590463366838,kg NOx eq
"waste treatment, textiles, at landfill",Terrestrial acidification,1.0 kg,4.673649877578044e-4,kg SO2 eq
"waste treatment, textiles, at landfill",Terrestrial ecotoxicity,1.0 kg,0.012225877957637946,"kg 1,4-DCB"
"waste treatment, textiles, at landfill",Water consumption,1.0 kg,-0.03943124267896127,m3
"waste treatment, wood and woodwaste, at landfill",Freshwater ecotoxicity,1.0 kg,-2.5735620453706386e-4,"kg 1,4-DCB"
"waste treatment, wood and woodwaste, at landfill",Freshwater eutrophication,1.0 kg,5.8563590529000004e-8,kg P eq
"waste treatment, wood and woodwaste, at landfill",Global warming,1.0 kg,1.0852371415650652,kg CO2 eq
"waste treatment, wood and woodwaste, at landfill",Land use,1.0 kg,0.00142164731469318,m2a crop eq
"waste treatment, wood and woodwaste, at landfill",Marine ecotoxicity,1.0 kg,-3.3919652667441046e-4,"kg 1,4-DCB"
"waste treatment, wood and woodwaste, at landfill",Marine eutrophication,1.0 kg,-2.3942091726701046e-7,kg N eq
"waste treatment, wood and woodwaste, at landfill","Ozone formation, Terrestrial ecosystems",1.0 kg,0.00627991739730919,kg NOx eq
"waste treatment, wood and woodwaste, at landfill",Terrestrial acidification,1.0 kg,3.895565898618433e-4,kg SO2 eq
"waste treatment, wood and woodwaste, at landfill",Terrestrial ecotoxicity,1.0 kg,0.011690651250975662,"kg 1,4-DCB"
"waste treatment, wood and woodwaste, at landfill",Water consumption,1.0 kg,-0.03206568820971973,m3
Water and Wastewater Melbourne,Freshwater ecotoxicity,1.0 m3,0.0253998977843855,"kg 1,4-DCB"
Water and Wastewater Melbourne,Freshwater eutrophication,1.0 m3,7.64128572506e-5,kg P eq
Water and Wastewater Melbourne,Global warming,1.0 m3,2.607922141918548,kg CO2 eq
Water and Wastewater Melbourne,Land use,1.0 m3,0.011141714741174901,m2a crop eq
Water and Wastewater Melbourne,Marine ecotoxicity,1.0 m3,0.0367150419073266,"kg 1,4-DCB"
Water and Wastewater Melbourne,Marine eutrophication,1.0 m3,6.255502732097809e-6,kg N eq
Water and Wastewater Melbourne,"Ozone formation, Terrestrial ecosystems",1.0 m3,0.0024088580021186016,kg NOx eq
Water and Wastewater Melbourne,Terrestrial acidification,1.0 m3,0.001781028274045481,kg SO2 eq
Water and Wastewater Melbourne,Terrestrial ecotoxicity,1.0 m3,3.0655440480102003,"kg 1,4-DCB"
Water and Wastewater Melbourne,Water consumption,1.0 m3,2.025476176557688,m3
